wavelength_nm,n,k
18215.0000,0.026959,2.046400
18372.0000,0.025630,2.111800
18530.0000,0.024546,2.178100
18687.0000,0.023675,2.245700
18844.0000,0.022992,2.314400
19002.0000,0.022475,2.384600
19159.0000,0.022107,2.456300
19316.0000,0.021876,2.529600
19473.0000,0.021770,2.604800
19631.0000,0.021784,2.681900
19788.0000,0.021911,2.761300
19945.0000,0.022149,2.843000
20103.0000,0.022497,2.927200
20260.0000,0.022955,3.014300
20417.0000,0.023527,3.104500
20574.0000,0.024217,3.198000
20732.0000,0.025031,3.295200
20889.0000,0.025980,3.396500
21046.0000,0.027074,3.502100
21204.0000,0.028329,3.612700
21361.0000,0.029761,3.728700
21518.0000,0.031393,3.850700
21675.0000,0.033253,3.979300
21833.0000,0.035375,4.115400
21990.0000,0.037801,4.259800
22147.0000,0.040582,4.413700
22305.0000,0.043782,4.578200
22462.0000,0.047488,4.755000
22619.0000,0.051805,4.945800
22776.0000,0.056870,5.152900
22934.0000,0.062864,5.378900
23091.0000,0.070044,5.627500
23248.0000,0.078733,5.902900
23406.0000,0.089404,6.210800
23563.0000,0.102740,6.558700
23720.0000,0.119750,6.957000
23877.0000,0.142020,7.420100
24035.0000,0.172100,7.968700
24192.0000,0.214390,8.634700
24349.0000,0.277010,9.468300
24507.0000,0.376440,10.556000
24664.0000,0.553710,12.075000
24821.0000,0.927450,14.407000
24978.0000,2.016400,18.681000
25136.0000,10.022000,29.638000
25293.0000,28.197000,7.826100
25450.0000,18.474000,1.841300
25608.0000,14.653000,0.893140
25765.0000,12.540000,0.548210
25922.0000,11.165000,0.380080
26079.0000,10.186000,0.283790
26237.0000,9.445300,0.222800
26394.0000,8.860200,0.181150
26551.0000,8.383700,0.151220
26709.0000,7.986600,0.128860
26866.0000,7.649500,0.111630
27023.0000,7.359200,0.098043
27180.0000,7.106000,0.087092
27338.0000,6.882800,0.078102
27495.0000,6.684100,0.070609
27652.0000,6.506000,0.064289
27810.0000,6.345600,0.058913
27967.0000,6.199800,0.054274
28124.0000,6.066900,0.050248
28281.0000,5.945100,0.046725
28439.0000,5.832900,0.043618
28596.0000,5.729300,0.040864
28753.0000,5.633200,0.038407
28911.0000,5.543900,0.036203
29068.0000,5.460600,0.034220
29225.0000,5.382700,0.032425
29382.0000,5.309600,0.030793
29540.0000,5.241000,0.029307
29697.0000,5.176400,0.027948
29854.0000,5.115500,0.026699
30012.0000,5.057900,0.025550
30169.0000,5.003400,0.024489
30326.0000,4.951700,0.023507
30483.0000,4.902600,0.022596
30641.0000,4.855900,0.021749
30798.0000,4.811500,0.020959
30955.0000,4.769100,0.020222
31113.0000,4.728700,0.019532
31270.0000,4.690100,0.018886
31427.0000,4.653100,0.018278
31584.0000,4.617700,0.017707
31742.0000,4.583700,0.017168
31899.0000,4.551200,0.016661
32056.0000,4.519900,0.016181
32214.0000,4.489900,0.015727
32371.0000,4.461000,0.015297
32528.0000,4.433100,0.014889
32685.0000,4.406300,0.014502
32843.0000,4.380500,0.014133
33000.0000,4.355600,0.013783
