wavelength_nm,n,k
60.7169,0.608505,0.098753
60.8569,0.606078,0.099620
60.9972,0.603565,0.100508
61.1378,0.601171,0.101385
61.2787,0.598757,0.102273
61.4200,0.596193,0.103195
61.5616,0.593860,0.104086
61.7035,0.591188,0.105046
61.8458,0.588610,0.106001
61.9883,0.586003,0.106972
62.1312,0.583472,0.107941
62.2744,0.580298,0.109043
62.4180,0.577884,0.110018
62.5619,0.574897,0.111119
62.7061,0.572084,0.112205
62.8507,0.568950,0.113376
62.9956,0.566347,0.114464
63.1408,0.563054,0.115718
63.2863,0.560289,0.116893
63.4322,0.557553,0.118094
63.5784,0.554126,0.119477
63.7250,0.550936,0.120852
63.8719,0.547800,0.122261
64.0191,0.544594,0.123736
64.1667,0.541417,0.125259
64.3146,0.538123,0.126870
64.4629,0.534965,0.128514
64.6115,0.531645,0.130268
64.7605,0.528196,0.132131
64.9097,0.524715,0.134085
65.0594,0.521359,0.136094
65.2094,0.517605,0.138300
65.3597,0.514455,0.140441
65.5103,0.511054,0.142746
65.6614,0.507783,0.145115
65.8127,0.504441,0.147604
65.9644,0.501088,0.150199
66.1165,0.497757,0.152889
66.2689,0.494688,0.155595
66.4217,0.491664,0.158379
66.5748,0.488256,0.161379
66.7283,0.485302,0.164316
66.8821,0.482646,0.167225
67.0363,0.479644,0.170323
67.1908,0.477064,0.173330
67.3457,0.474253,0.176472
67.5009,0.471774,0.179532
67.6566,0.469127,0.182685
67.8125,0.466518,0.185847
67.9688,0.464210,0.188901
68.1255,0.461925,0.191945
68.2826,0.460005,0.194825
68.4400,0.457572,0.197906
68.5978,0.455523,0.200796
68.7559,0.453452,0.203664
68.9144,0.450941,0.206695
69.0732,0.449053,0.209401
69.2325,0.446840,0.212213
69.3921,0.444942,0.214827
69.5520,0.442988,0.217416
69.7124,0.440484,0.220229
69.8731,0.438573,0.222698
70.0342,0.436206,0.225351
70.1956,0.434013,0.227871
70.3574,0.431718,0.230404
70.5196,0.429377,0.232924
70.6822,0.427285,0.235273
70.8451,0.424776,0.237822
71.0084,0.422322,0.240316
71.1721,0.419921,0.242761
71.3362,0.417191,0.245381
71.5006,0.414626,0.247897
71.6655,0.412083,0.250394
71.8307,0.409353,0.253006
71.9963,0.406604,0.255636
72.1622,0.403738,0.258352
72.3286,0.401112,0.260928
72.4953,0.398061,0.263802
72.6624,0.395322,0.266494
72.8299,0.392294,0.269409
72.9978,0.389198,0.272407
73.1661,0.386409,0.275226
73.3348,0.383336,0.278286
73.5038,0.380363,0.281316
73.6733,0.377340,0.284431
73.8431,0.374149,0.287724
74.0133,0.371103,0.290959
74.1839,0.368000,0.294295
74.3549,0.364780,0.297787
74.5264,0.361862,0.301092
74.6982,0.358451,0.304875
74.8704,0.355427,0.308401
75.0429,0.352386,0.312008
75.2159,0.349239,0.315781
75.3893,0.345978,0.319737
75.5631,0.343003,0.323506
75.7373,0.339842,0.327531
75.9119,0.336762,0.331564
76.0869,0.333780,0.335583
76.2623,0.330595,0.339897
76.4381,0.327730,0.343974
76.6143,0.324733,0.348279
76.7909,0.321676,0.352746
76.9679,0.318810,0.357105
77.1454,0.315976,0.361525
77.3232,0.313035,0.366173
77.5015,0.310248,0.370747
77.6801,0.307397,0.375509
77.8592,0.304662,0.380243
78.0387,0.301988,0.385016
78.2186,0.299241,0.390002
78.3989,0.296569,0.395016
78.5796,0.294122,0.399854
78.7608,0.291438,0.405145
78.9423,0.289085,0.410108
79.1243,0.286759,0.415164
79.3067,0.284355,0.420468
79.4895,0.282034,0.425793
79.6728,0.279902,0.430973
79.8564,0.277641,0.436499
80.0405,0.275648,0.441751
80.2250,0.273614,0.447214
80.4100,0.271581,0.452829
80.5953,0.269815,0.458148
80.7811,0.268023,0.463656
80.9673,0.266282,0.469226
81.1540,0.264685,0.474688
81.3411,0.263033,0.480394
81.5286,0.261582,0.485874
81.7165,0.260237,0.491292
81.9049,0.258807,0.497005
82.0937,0.257514,0.502586
82.2830,0.256279,0.508176
82.4726,0.255090,0.513797
82.6628,0.254031,0.519269
82.8533,0.252946,0.524902
83.0443,0.252004,0.530343
83.2357,0.251138,0.535718
83.4276,0.250243,0.541248
83.6199,0.249378,0.546803
83.8127,0.248631,0.552188
84.0059,0.247904,0.557607
84.1996,0.247197,0.563057
84.3937,0.246503,0.568556
84.5882,0.245973,0.573742
84.7832,0.245406,0.579076
84.9787,0.244848,0.584444
85.1746,0.244361,0.589693
85.3709,0.243908,0.594893
85.5677,0.243480,0.600061
85.7650,0.243059,0.605224
85.9627,0.242648,0.610364
86.1608,0.242252,0.615455
86.3595,0.241856,0.620521
86.5585,0.241508,0.625423
86.7581,0.241092,0.630452
86.9581,0.240674,0.635422
87.1585,0.240252,0.640335
87.3594,0.239811,0.645217
87.5608,0.239314,0.650173
87.7627,0.238812,0.655058
87.9650,0.238296,0.659902
88.1678,0.237770,0.664696
88.3710,0.237149,0.669686
88.5747,0.236577,0.674479
88.7789,0.235885,0.679565
88.9836,0.235252,0.684448
89.1887,0.234574,0.689442
89.3943,0.233864,0.694522
89.6004,0.233151,0.699631
89.8069,0.232463,0.704693
90.0140,0.231758,0.709857
90.2215,0.231051,0.715091
90.4294,0.230322,0.720484
90.6379,0.229668,0.725751
90.8469,0.229022,0.731113
91.0563,0.228376,0.736616
91.2662,0.227787,0.742094
91.4766,0.227236,0.747615
91.6874,0.226715,0.753227
91.8988,0.226260,0.758810
92.1107,0.225817,0.764560
92.3230,0.225448,0.770272
92.5358,0.225152,0.775954
92.7491,0.224881,0.781769
92.9629,0.224704,0.787483
93.1772,0.224559,0.793305
93.3920,0.224490,0.799078
93.6073,0.224463,0.804923
93.8231,0.224484,0.810806
94.0394,0.224595,0.816572
94.2562,0.224738,0.822423
94.4735,0.224935,0.828267
94.6913,0.225171,0.834153
94.9095,0.225490,0.839907
95.1283,0.225831,0.845747
95.3476,0.226234,0.851510
95.5674,0.226656,0.857349
95.7877,0.227142,0.863083
96.0085,0.227675,0.868770
96.2299,0.228223,0.874519
96.4517,0.228800,0.880267
96.6740,0.229418,0.885960
96.8969,0.230069,0.891623
97.1203,0.230771,0.897177
97.3442,0.231450,0.902899
97.5686,0.232190,0.908460
97.7935,0.232947,0.914027
98.0189,0.233700,0.919671
98.2449,0.234485,0.925247
98.4713,0.235294,0.930786
98.6983,0.236106,0.936369
98.9259,0.236958,0.941839
99.1539,0.237789,0.947440
99.3825,0.238666,0.952899
99.6116,0.239535,0.958437
99.8412,0.240435,0.963891
100.0710,0.241340,0.969364
100.3020,0.242244,0.974886
100.5330,0.243171,0.980350
100.7650,0.244108,0.985815
100.9970,0.245052,0.991293
101.2300,0.246011,0.996755
101.4640,0.246977,1.002225
101.6970,0.247951,1.007710
101.9320,0.248953,1.013126
102.1670,0.249946,1.018627
102.4020,0.250972,1.024041
102.6380,0.251987,1.029550
102.8750,0.253030,1.034996
103.1120,0.254074,1.040500
103.3500,0.255136,1.045983
103.5880,0.256211,1.051472
103.8270,0.257301,1.056964
104.0660,0.258409,1.062443
104.3060,0.259509,1.068026
104.5470,0.260653,1.073499
104.7880,0.261796,1.079048
105.0290,0.262966,1.084561
105.2710,0.264149,1.090098
105.5140,0.265346,1.095661
105.7570,0.266566,1.101212
106.0010,0.267797,1.106805
106.2450,0.269051,1.112394
106.4900,0.270316,1.118029
106.7360,0.271615,1.123623
106.9820,0.272926,1.129264
107.2280,0.274268,1.134886
107.4760,0.275620,1.140575
107.7230,0.277011,1.146214
107.9720,0.278413,1.151929
108.2210,0.279851,1.157614
108.4700,0.281314,1.163332
108.7200,0.282806,1.169062
108.9710,0.284325,1.174822
109.2220,0.285878,1.180593
109.4740,0.287461,1.186397
109.7260,0.289089,1.192183
109.9790,0.290747,1.198025
110.2330,0.292441,1.203903
110.4870,0.294183,1.209783
110.7410,0.295982,1.215639
110.9970,0.297818,1.221562
111.2530,0.299709,1.227498
111.5090,0.301659,1.233441
111.7660,0.303666,1.239413
112.0240,0.305735,1.245411
112.2820,0.307870,1.251435
112.5410,0.310087,1.257431
112.8000,0.312373,1.263477
113.0600,0.314745,1.269512
113.3210,0.317208,1.275530
113.5820,0.319758,1.281568
113.8440,0.322401,1.287606
114.1060,0.325163,1.293559
114.3690,0.328010,1.299564
114.6330,0.330969,1.305526
114.8970,0.334034,1.311459
115.1620,0.337219,1.317313
115.4280,0.340518,1.323096
115.6940,0.343927,1.328819
115.9600,0.347455,1.334416
116.2280,0.351074,1.339976
116.4960,0.354807,1.345373
116.7640,0.358633,1.350644
117.0330,0.362536,1.355802
117.3030,0.366516,1.360787
117.5740,0.370551,1.365621
117.8450,0.374633,1.370268
118.1160,0.378737,1.374741
118.3890,0.382851,1.379008
118.6620,0.386950,1.383075
118.9350,0.391000,1.386986
119.2090,0.394998,1.390674
119.4840,0.398912,1.394171
119.7590,0.402719,1.397491
120.0360,0.406390,1.400669
120.3120,0.409922,1.403673
120.5900,0.413284,1.406563
120.8680,0.416467,1.409350
121.1460,0.419467,1.412042
121.4250,0.422265,1.414705
121.7050,0.424877,1.417308
121.9860,0.427293,1.419920
122.2670,0.429529,1.422530
122.5490,0.431582,1.425201
122.8320,0.433472,1.427922
123.1150,0.435214,1.430698
123.3980,0.436815,1.433568
123.6830,0.438297,1.436511
123.9680,0.439667,1.439553
124.2540,0.440935,1.442709
124.5400,0.442120,1.445965
124.8270,0.443228,1.449344
125.1150,0.444282,1.452806
125.4040,0.445279,1.456403
125.6930,0.446236,1.460124
125.9820,0.447172,1.463938
126.2730,0.448085,1.467896
126.5640,0.449002,1.471944
126.8560,0.449920,1.476121
127.1480,0.450860,1.480392
127.4410,0.451825,1.484773
127.7350,0.452828,1.489239
128.0290,0.453878,1.493780
128.3250,0.454972,1.498416
128.6200,0.456122,1.503112
128.9170,0.457329,1.507869
129.2140,0.458601,1.512657
129.5120,0.459926,1.517508
129.8110,0.461315,1.522377
130.1100,0.462752,1.527305
130.4100,0.464259,1.532210
130.7100,0.465810,1.537160
131.0120,0.467413,1.542113
131.3140,0.469069,1.547058
131.6160,0.470760,1.552031
131.9200,0.472501,1.556973
132.2240,0.474271,1.561937
132.5290,0.476084,1.566871
132.8340,0.477921,1.571822
133.1400,0.479788,1.576761
133.4470,0.481685,1.581682
133.7550,0.483600,1.586616
134.0630,0.485536,1.591546
134.3720,0.487498,1.596450
134.6820,0.489482,1.601338
134.9930,0.491475,1.606247
135.3040,0.493491,1.611131
135.6160,0.495522,1.616010
135.9280,0.497569,1.620880
136.2420,0.499632,1.625738
136.5560,0.501709,1.630589
136.8710,0.503795,1.635440
137.1860,0.505899,1.640263
137.5020,0.508015,1.645072
137.8190,0.510140,1.649868
138.1370,0.512272,1.654650
138.4550,0.514410,1.659415
138.7750,0.516555,1.664142
139.0940,0.518697,1.668854
139.4150,0.520834,1.673546
139.7370,0.522963,1.678210
140.0590,0.525076,1.682855
140.3820,0.527176,1.687456
140.7050,0.529245,1.692053
141.0290,0.531284,1.696626
141.3550,0.533290,1.701172
141.6800,0.535249,1.705719
142.0070,0.537161,1.710258
142.3340,0.539028,1.714777
142.6630,0.540830,1.719331
142.9910,0.542581,1.723882
143.3210,0.544270,1.728471
143.6510,0.545905,1.733081
143.9830,0.547483,1.737740
144.3140,0.549009,1.742451
144.6470,0.550488,1.747231
144.9810,0.551924,1.752093
145.3150,0.553332,1.757027
145.6500,0.554718,1.762052
145.9860,0.556097,1.767157
146.3220,0.557479,1.772349
146.6590,0.558873,1.777647
146.9970,0.560290,1.783044
147.3360,0.561745,1.788534
147.6760,0.563258,1.794084
148.0160,0.564822,1.799739
148.3580,0.566464,1.805443
148.7000,0.568179,1.811220
149.0420,0.569979,1.817049
149.3860,0.571877,1.822891
149.7300,0.573858,1.828788
150.0760,0.575940,1.834680
150.4210,0.578117,1.840572
150.7680,0.580382,1.846466
151.1160,0.582744,1.852311
151.4640,0.585186,1.858130
151.8130,0.587701,1.863914
152.1630,0.590291,1.869622
152.5140,0.592940,1.875264
152.8660,0.595634,1.880840
153.2180,0.598368,1.886325
153.5710,0.601127,1.891720
153.9250,0.603897,1.897021
154.2800,0.606664,1.902228
154.6360,0.609414,1.907331
154.9920,0.612130,1.912343
155.3500,0.614795,1.917266
155.7080,0.617399,1.922095
156.0670,0.619924,1.926843
156.4260,0.622356,1.931519
156.7870,0.624681,1.936131
157.1480,0.626888,1.940691
157.5110,0.628964,1.945220
157.8740,0.630902,1.949727
158.2380,0.632693,1.954230
158.6020,0.634336,1.958741
158.9680,0.635821,1.963298
159.3350,0.637154,1.967901
159.7020,0.638334,1.972583
160.0700,0.639366,1.977358
160.4390,0.640257,1.982249
160.8090,0.641018,1.987266
161.1800,0.641666,1.992411
161.5510,0.642205,1.997729
161.9230,0.642653,2.003220
162.2970,0.643030,2.008886
162.6710,0.643348,2.014750
163.0460,0.643631,2.020797
163.4220,0.643891,2.027046
163.7980,0.644149,2.033488
164.1760,0.644420,2.040129
164.5550,0.644717,2.046969
164.9340,0.645058,2.053985
165.3140,0.645450,2.061191
165.6950,0.645907,2.068576
166.0770,0.646439,2.076140
166.4600,0.647058,2.083867
166.8440,0.647774,2.091744
167.2280,0.648590,2.099786
167.6140,0.649519,2.107967
168.0000,0.650565,2.116296
168.3880,0.651736,2.124760
168.7760,0.653040,2.133351
169.1650,0.654484,2.142067
169.5550,0.656076,2.150897
169.9460,0.657827,2.159830
170.3370,0.659742,2.168862
170.7300,0.661829,2.177981
171.1240,0.664096,2.187171
171.5180,0.666550,2.196416
171.9130,0.669190,2.205717
172.3100,0.672026,2.215031
172.7070,0.675052,2.224361
173.1050,0.678271,2.233669
173.5040,0.681669,2.242961
173.9040,0.685243,2.252201
174.3050,0.688977,2.261382
174.7070,0.692859,2.270482
175.1100,0.696869,2.279500
175.5130,0.700991,2.288411
175.9180,0.705199,2.297225
176.3230,0.709475,2.305933
176.7300,0.713792,2.314552
177.1370,0.718134,2.323067
177.5460,0.722478,2.331496
177.9550,0.726800,2.339876
178.3650,0.731092,2.348200
178.7760,0.735335,2.356515
179.1880,0.739526,2.364845
179.6010,0.743669,2.373230
180.0150,0.747781,2.381709
180.4300,0.751893,2.390324
180.8460,0.756060,2.399095
181.2630,0.760344,2.408029
181.6810,0.764815,2.417108
182.1000,0.769533,2.426284
182.5200,0.774536,2.435471
182.9410,0.779823,2.444587
183.3620,0.785359,2.453541
183.7850,0.791075,2.462280
184.2090,0.796886,2.470777
184.6330,0.802714,2.479039
185.0590,0.808496,2.487106
185.4850,0.814192,2.495027
185.9130,0.819787,2.502865
186.3420,0.825290,2.510659
186.7710,0.830717,2.518445
187.2020,0.836088,2.526242
187.6330,0.841422,2.534060
188.0660,0.846739,2.541894
188.4990,0.852043,2.549761
188.9340,0.857346,2.557649
189.3690,0.862656,2.565547
189.8060,0.867970,2.573476
190.2440,0.873295,2.581421
190.6820,0.878631,2.589382
191.1220,0.883981,2.597361
191.5620,0.889345,2.605357
192.0040,0.894725,2.613375
192.4460,0.900121,2.621412
192.8900,0.905533,2.629474
193.3350,0.910965,2.637554
193.7800,0.916419,2.645650
194.2270,0.921891,2.653775
194.6750,0.927385,2.661926
195.1240,0.932903,2.670094
195.5730,0.938444,2.678290
196.0240,0.944010,2.686510
